age;HS;MS;HI;MI
0;0,008397704;0,006102972;0,029430999;0,020981143
1;0,001585424;0,001031731;0,006153445;0,003928103
2;0,001298969;0,000828947;0,005074029;0,003176322
3;0,001048594;0,000654351;0,00412794;0,002526855
4;0,000833673;0,000506886;0,003313978;0,00197655
5;0,000680229;0,000408277;0,00282181;0,001683307
6;0,000527811;0,000305799;0,002226002;0,001281794
7;0,000408936;0,000227705;0,001762239;0,000975251
8;0,000321369;0,000171746;0,001422487;0,000755558
9;0,000262289;0,000135247;0,001195946;0,000612906
10;0,000232916;0,000119477;0,001106182;0,000571195
11;0,000220763;0,000112568;0,001064134;0,000546207
12;0,000227523;0,000116303;0,001095047;0,00056347
13;0,000250066;0,000127681;0,001183484;0,000608286
14;0,00028568;0,000144051;0,001315043;0,000667499
15;0,000335074;0,000165853;0,001499795;0,000751388
16;0,000391113;0,000186391;0,001683887;0,000812239
17;0,00045489;0,000206682;0,001878436;0,000863858
18;0,000525192;0,000225779;0,002075833;0,000903247
19;0,000600894;0,000242998;0,002269812;0,000929058
20;0,000686471;0,000256578;0,002490568;0,000933065
21;0,000770324;0,000268514;0,002665784;0,000931394
22;0,000807199;0,000277232;0,002825049;0,000972533
23;0,000834783;0,000282339;0,002966531;0,001005684
24;0,000854892;0,000294566;0,003089849;0,001067147
25;0,000878827;0,000298589;0,003251452;0,001091627
26;0,000892039;0,000309683;0,003345445;0,001147658
27;0,000905209;0,000324602;0,003429879;0,001215365
28;0,000919841;0,000344186;0,003510949;0,001298165
29;0,000936086;0,000367921;0,003596072;0,001396669
30;0,000958125;0,000393328;0,00372842;0,001501131
31;0,000975094;0,000422651;0,003847993;0,001635803
32;0,000992538;0,000448227;0,003997683;0,001770599
33;0,00101224;0,000463128;0,004512872;0,002025034
34;0,001036642;0,000468382;0,004794972;0,002124806
35;0,001065742;0,000474751;0,005023036;0,002194241
36;0,001103771;0,000498263;0,005237553;0,002318529
37;0,00114721;0,000540855;0,00542992;0,00251036
38;0,001194137;0,000594885;0,005607582;0,002739421
39;0,001243671;0,000651836;0,005777985;0,002969706
40;0,001296545;0,000711316;0,005951065;0,003216478
41;0,001353434;0,000762694;0,006129362;0,003402823
42;0,001415967;0,000810749;0,006322743;0,003566563
43;0,00148509;0,000858791;0,006538657;0,00372507
44;0,001561646;0,00091377;0,006784554;0,003910991
45;0,001649542;0,000990339;0,007088143;0,004207063
46;0,001745428;0,001080111;0,007417291;0,004537721
47;0,001854499;0,001186329;0,007798918;0,004932178
48;0,001979951;0,001304414;0,008240494;0,005367105
49;0,002124736;0,001430417;0,008749489;0,005823263
50;0,00229909;0,001563733;0,009392068;0,006309565
51;0,002487941;0,001692669;0,010062502;0,006761909
52;0,002698244;0,001819011;0,01082333;0,00720687
53;0,002928465;0,001947186;0,01168207;0,007672181
54;0,003177071;0,002087624;0,012646239;0,008207637
55;0,003437014;0,00224757;0,013680278;0,008831734
56;0,003720506;0,002447306;0,014874097;0,009659085
57;0,004024079;0,002685734;0,016195495;0,010671117
58;0,004352343;0,002961689;0,017651965;0,011858471
59;0,004712403;0,003271412;0,019251001;0,013193661
60;0,005132638;0,003595768;0,021137259;0,014535336
61;0,005587441;0,003956701;0,023056361;0,01602642
62;0,006105739;0,004338257;0,025141588;0,017534575
63;0,006698466;0,004741207;0,027400482;0,019036946
64;0,007375798;0,005170364;0,029840586;0,020532644
65;0,008138072;0,005604328;0,032403332;0,021839381
66;0,009013341;0,006106368;0,035222729;0,023354407
67;0,010003927;0,006659677;0,03824555;0,024917947
68;0,011121861;0,007273622;0,04147932;0,026549332
69;0,012380341;0,007957016;0,044931566;0,028262974
70;0,013840745;0,008745751;0,048901162;0,030233832
71;0,015429079;0,009600537;0,053039276;0,032291593
72;0,017203218;0,010562462;0,057383771;0,034473148
73;0,019178993;0,011654101;0,062036636;0,036883965
74;0,021372425;0,012903301;0,067014646;0,039587049
75;0,023858224;0,014492766;0,072646698;0,043439472
76;0,026542092;0,016170215;0,078351084;0,046987372
77;0,029493063;0,018105128;0,084434299;0,05102184
78;0,032727871;0,020329641;0,090914078;0,055590245
79;0,036263731;0,022873941;0,097808144;0,060729406
80;0,040494612;0,02611828;0,106865077;0,068064896
81;0,044726128;0,029428486;0,114768245;0,074570734
82;0,049317741;0,033142153;0,123145207;0,081721271
83;0,054289627;0,037283348;0,13201257;0,089526868
84;0,059662569;0,041876138;0,141386173;0,09799675
85;0,06607011;0,047584982;0,15376582;0,109708786
86;0,072367765;0,05323174;0,164366674;0,119772189
87;0,079135748;0,059413914;0,175523645;0,130547272
88;0,086396416;0,066159041;0,187247587;0,142045155
89;0,094172236;0,073495156;0,199547445;0,154276126
90;0,10344208;0,082556859;0,215911191;0,171244497
91;0,112398561;0,091276876;0,229601524;0,185293565
92;0,121943201;0,100682317;0,243890198;0,200113095
93;0,133657203;0,110802087;0,258775872;0,213189055
94;0,145482034;0,122011879;0,274253926;0,228576279
95;0,159725406;0,13580326;0,295062633;0,250090406
96;0,173625006;0,148905395;0,311969137;0,266720512
97;0,188591337;0,163026155;0,329441062;0,283896409
98;0,204678968;0,178221149;0,347457933;0,301602458
99;0,221939808;0,194544349;0,365994845;0,319819549
100;0,242654854;0,214907572;0,391302479;0,346557524
101;0,262583561;0,233889188;0,411104273;0,366179985
102;0,283822532;0,254155516;0,431330637;0,386245094
103;0,306397332;0,275740659;0,451937514;0,406718775
104;0,33032161;0,298668936;0,47287627;0,427563466
105;0,355594557;0,322952569;0,494093869;0,448738264
106;0,382198199;0,348589149;0,515533136;0,470199121
107;0,410094557;0,375558943;0,537133086;0,491899077
108;0,439222797;0,403822092;0,558829343;0,513788528
109;0,469496454;0,433315783;0,580554636;0,53581552
110;1;1;1;1
